smiles,chembl_id,activity_type,value,units,value_nm,pchembl_value,mw,logp,hba,hbd,tpsa,inchi_key
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,IC50,0.041,uM,41.0,7.39,383.814,4.450340000000002,4,3,82.69999999999999,YFDRVUYGJJBGOU-GHXNOFRVSA-N
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,IC50,0.17,uM,170.0,6.77,482.9030000000001,3.614320000000001,6,3,112.24,JQPOKKSPLVGJGJ-UVTDQMKNSA-N
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,IC50,0.125,uM,125.0,6.90,236.234,1.55914,5,2,117.61999999999999,DXVJRTIPBNBLLB-BJMVGYQFSA-N
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,IC50,0.00045,uM,0.45,9.35,542.0150000000001,3.57442,7,5,135.27,CBPCSPAXUJCCML-YVLHZVERSA-N
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL310798,Ki,1.0,uM,1000.0,6.00,202.16899999999998,1.2339599999999997,5,3,108.27000000000001,YZOFLYUAQDJWKV-UHFFFAOYSA-N
